subject,body,label
"hpl nom for may 25 , 2001","( see attached file : hplno 525 . xls )
- hplno 525 . xls",0
txu at lonestar katy,"hey , i spoke with ronnie skerrik and charlie stone this morning and they
agreed that
if lonestar does not bring the gas back to hpl as nomed that the gas will
continue to be
sold to txu . this should elevate any higher vol re - deliveries / make up to
hpl .
please call me with any questions ,
janet",0
"dave n out of pocket next week , beyond","i will be in class next week at the hyatt . if you have unify performance
issues that need immediate attention , please call :
jim ogg 5 - 7225
kishore b . 3 - 0347
russ whitton 3 - 3874
you already have my pager number .
also , for the next 2 months while our office space is being gutted and
re - built , i will be located in 3 allen center , 37 th floor . how convenient .
i will have the same phone number . feel free to send me a postcard ; - )
d . n .",0
dave n out until july 5 th,"i will be taking a sabbatical beginning any moment . i have no control over
the exact time ; it may have already happened . i plan to visit the mountains
and the ocean . they miss me . i miss them .
unfortunately , enron requires employees to use vacation time instead of inner
self time , so i will have to return someday . looks like july 5 th . i ' m kind
of bummed about it , but maybe by then i will have transcended to a new
plateau of understanding .
in my absence , contact milind patil , x 39247 for unify performance issues .
thanks for understanding ,
the persona formerly known as dave ( the keyboard can no longer be used to
spell my new name )",0
temp forecast model . xls,this is the file with our city temperature weights .,0
dewbre petroleum,"vance ,
the following deal is not on you spreadsheet nor is it on the prebid list that daren maintains :
deal # counterparty meter #
137595 dewbre petr . 9662
is this a good deal ?
bob",0
goldston outage,"per kevin at goldston they will be doing a plant turnaround on the 19 , 20 ,
21 , and will be flowing 0 at the point ( 989603 ) for those days . just wanted
to give you a heads up in advance .",0
may wellheads,"david here is the other side of the coin . these are meters that are not in
the wellhead portfolio for may but are on vances sheet . several of them
are new meters and some were just not nomed in april . vance can you confirm
that these are right for the well head . thanks
brayton operating 989685 #
125807 242
carrizo oil gas 989830 new
meter
cd resources 982677
# 137858 1
core exploration 986840
# 133125 1200
eex corp . 985999
# 229609 7923
eex corp . 986500
# 229586 1778
el sordo 986315
# 229541 103
engage 989789
no ticket in april
985839 # 229490 598
985848 # 229501 285
985923 # 229532 671
986801 # 229535 1157
eog
983082 # 126336 7500
988751 # gulf energy 2027
gas solutions 989829
# 247754 3000
hat oil & gas 986731
# 137156 140
helmerich & payne 989833 new
meter 10000
hollimon 989831
# 243604 500
mjg inc . 984179
# 135714 976
mueller operating 987260
# 156247 4000 cpr report shows meter
9769 .
petra oloeum 985982
# 138662 144
petro pro energy 989619 no april
nom
phillips petroleum 986673
# 156258 838
royal production co . 985310
# 138023 984
sonara 986686
# 133308 95
swift
982630
# 229575 21
tema 984688
no april nom
texas nom , lp 989656
# 247087 500
universal petrol . corp 986411
# 138665 99
wilmar pipline 986188
# 136185 13",0
vance here is a list of meters that are in sitara under the well head,"portfolio but are not on your sheets for this month . please check these out
as soon as possible so i can get the best number to daren asap . thanks tom .
acock engineering . 985547 # 229474 77
blackhawk oil 27 - 0 # 133255 670
black stone 989003 # 137868 664
conoco 984132 # 138103 144
dale operating co 985502 # 138342 37
dn hughes 980275 # 138800 70
elpaso 980308 # 139674
eog 27 - 0 # 126370
2027
980440
# 126351 444
four square 986735 # 137971 1147
lousis dreyfus 987491 # 138017 1000
muelller exploration 986838 # 164172 2800
ph exploration 986542 # 138554 47
prime energy 986542 # 138578 418
states inc . 23 - 3
# 138359 85
tejones 989643 # 133173 1068
titan resources 989685 # 248551 242
upstream 985155 # 138628 8000
valence operating 984132 # 138570 12
vintage 989643 # 139661
14
wagner oil 27 - 0 # 138033 900
western gulf 980106 # 139671 1068
wilmar pipline 985048 # 224899 163
total 21097",0
well heads,"phillips has changed there nom at meter 6673 . vance had 119 in his file but
phillips sent in a nom today for 948 . so far it has flowed for april
between 1100 and 841 .
prize has some changes .
meter from
to march range .
4028 1113
717 1137 to 887
5579 2733
2381 2800 to 2578
5767 115
150 140 to 103
6191 249
154 253 to 217
6675 120
239 78 to 156
9604 109
32 38 to 63
4965 149
180 71 to 288
5121 1163
1135 303 to 703
vintage
989603 0
330 no mom in april , nomed 270
in march .",0
wellhead,"encina has some tru ups .
meter
vance new march
avg .
4353
54
53
5631
40 35
5625
20 25
6832
225 276
270 to 280
9731
325 290
300 to 308
9720
6750 6500
6030 to 6895",0
noms,"daren , there seems to be two noms that are not in the system that need to be
nomed from the first on . ames meter 5077 and senora meter 6686 . both had
thckets that were not extended into april .",0
re : producer connects on the 215 contract - april,"thanks for the info heidi . it ' s always good to have a second pair of eyes
with all these wells . i have done some research and all but one are hplc
deals and were not putting those on the gathering contract . i ' ll run this by
daren and make the changes if needed . please let me know if you see anything
else it just takes a minute to check on it .",0
wellheads,"daren , cody has a new well coming on friday behind the 985333 . right now
we don ' t have any nominations at that meter so i ' ll get with vance on that .
the increases according to the fax is going from 230 @ day to 1700 on friday
and 1700 to 3200 on sat . prize energy would like to make some changes ,
meter
4028 from 1270 to 820 has been flowing from 600 to 800 this
month
4965 from 112 to 45 has been flowing mid 80 ' s this month
from 97 to 104",0
re : midcoast marketing,the deals are in and the ticket numbers are jan . 214249 and feb . 214251 .,0
dewbre petroleum,"vance ,
the following deal is not on you spreadsheet nor is it on the prebid list
that daren maintains :
deal # counterparty meter #
137595 dewbre petr . 9662
is this a good deal ?
bob",0
bosses day,"hey kids , why don ' t we pool our resources and get "" el jefe "" something nice ? not like last year . . . i won ' t mention names ( donna ) . . . . when some individuals within the team didn ' t want to include the rest of us in their "" reindeer games "" for bosses day . any suggestions ? round of golf , gift certificate ? ? ? i nominate suzanne to collect the money . any objections ?
thanks",0
phillips petroleum,"i wanted to update you on those phillips deals that the counterparty is
saying are booked wrong . i have left gary l . a voice mail , but i have a
feeling i won ' t be hearing from him . so , we might not be getting an answer
until next week on these deals . the deals are ; 131054 & 131048 .
if i hear from gary i ' ll let you know . i ' m hoping that they are ok .
julie",0
january setup - - mops,"specifically , meter 1373 has several deals set up and 6 of them are ranked
10 . these will not allocate properly as you know . suggest you double check
all the industrials to ensure they are ranked correctly . january will then
need to be re - nomed .
ken",0
lyondell - - # 1063,"the gas looks like it is not allocating correctly in jan .
i have not researched as to why , but if you like i can come down and go over
some things to help identify and correct these kinds of problems .
let me know .
ken",0
y 2 k pbas,the y 2 k pbas will be available for distribution on february 15 th .,0
february issues,"i am currently going over the february setup in unify to locate current and
potential problems for the month . if you like , i would be glad to get
together tomorrow afternoon and review the problems just to give you an
overview on what i see .
let me know .
ken",0
"per nelson ferries ( dealmaker ) : we do pay spinnaker i - . 08 . o ' neal , could you","please change the base purchase deals to reflect that price . i changed the
transport tickets to show that we pay nothing .
thanks ,
ami",0
february updates,sorry so late .,0
half day of vac on 2 / 28,12 . 20 dentist appt on 2 / 29,0
recorded line request,"stacey neuweiler provides trader support to the texas gas trading group . she
currently occupies eb 3137 j .
her extension is 3 - 3952 . please give her access to a recorded line .
ami chokshi also provides trader support to the texas gas trading group . she
currently occupies eb 3130 h .
her phone extension is 3 - 9272 . please give her access to a recorded phone
line .
many thanks ,
barbara lewis",0
addition of tejas meter # 1156,"stacey ,
i phoned jackie morgan to request that the aforementioned meter be added for
nomination purposes .
she wasn ' t in , at the time . so , when she returns my call , i ' ll apprise you
of the addition .
thanks
- jackie -
3 - 9497",0
fyi,"daren ,
hey , sorry about not calling you last thur & fri - i was out sick . i think
that were going to have to play this assistance thing on a day to day basis .
i know i will be catching up for missing those days & i need to get some
things in order this week for the new guy that starts next week . so i ' ll
just have to call you when i can spare the time . sorry for any inconvenience
this may have caused you !
thanks ,
kyle",0
new locations,"the following listing reflects your new enron office locations . please
remember to properly label all boxes ,
chairs , mouses , keyboards , cpu ' s , monitors , stenophones , amtels and / or palm
pilot stations .
i will be here both saturday and sunday to ensure that your items have been
moved and pc ' s are working efficiently .
lauri allen 3212 a
eric bass 3212 c
ami chokshi 3213 e
daren farmer 3210 e
craig falbaum 3210 f
edward gottlob 3212 b
brenda herod 3213 c
gary lamphier 3213 a
barbara lewis 3214 c
tom martin 3211 c
greg mcclendon 3211 a
james mckay 3213 b
carey metz 3211 d
stacey neuweiler 3209 e
jennifer sabine 3206 a
jim schwieger 3211 b
elsa villarreal 3211 e
janet wallis 3213 d
gas control 3209 f
sunny rodgers : i will notify you of our exact mailstop location asap .",0
nom for 3 / 14 and 3 / 15,"well , i goofed up the email again .
the dates we are reducing noms for are 3 / 14 and 3 / 15 .
i ' ll call on wednesday am about thursday numbers .",0
enron,"damn ! ! ! ! what are you guys doing down there . i leave you alone and the place goes to hell in a hand - basket .
i ' m sure glad my portfolio is diversified into stocks that have lost even more money than enron ( chuckle ) .
hang in there . . . . . . . . . this has happened before . if it gets bad enough call me and i ' ll buy you lunch .
ken
p . s . i finally get to see my beloved huskers in waco this year . it is not the same as mecca ( lincoln ) , but it ' ll do . besides we will have more red there than baylor green .",0
quack,"( see attached file : duck hunting . mpe )
- duck hunting . mpe",0
me again,"did you survive bid week ?
i hear you lost another employee ( stacey ) . if you need someone to work for you i suppose i ' m free ( in a freedom sense , not $ ) . do you have any staff left ?
just giving you a hard time . ( like you need one )
gotta run . almost have my * & % $ # ! ! @ # taxes done . if people had to write a personal check every quarter for their taxes there would be some big changes . it sucks . ? ? later , ? ken ? ?",0
